shoesIDX,shoesID,pro_name
149,1011A256-401,GEL-Contend 5
150,1011A256-405,GEL-Contend 5
151,1011A257-001,GEL-Nimbus 21
152,1011A260-001,GEL-Pursue 5
153,1011A260-400,GEL-Pursue 5
154,1011A262-001,GT-2000 7
155,1011A536-002,GEL-KAYANO 26 (4E)
156,1011A536-400,GEL-KAYANO 26 (4E)
157,1011A538-400,GT-1000 8 (2E)
158,1011A539-002,GT-1000 8 (4E)
159,1011A539-020,GT-1000 8 (4E)
160,1011A540-002,GT-1000 8
161,1011A540-003,GT-1000 8
162,1011A540-020,GT-1000 8
163,1011A540-400,GT-1000 8
164,1011A541-001,GEL-KAYANO 26
165,1011A541-002,GEL-KAYANO 26
166,1011A541-003,GEL-KAYANO 26
167,1011A541-020,GEL-KAYANO 26
168,1011A541-021,GEL-KAYANO 26
169,1011A541-100,GEL-KAYANO 26
170,1011A541-400,GEL-KAYANO 26
171,1011A541-600,GEL-KAYANO 26
172,1011A541-750,GEL-KAYANO 26
173,1011A542-001,GEL-KAYANO 26 (2E)
174,1011A542-002,GEL-KAYANO 26 (2E)
175,1011A542-400,GEL-KAYANO 26 (2E)
176,1011A544-100,TARTHEREDGE
177,1011A544-750,TARTHEREDGE
178,1011A549-001,DYNAFLYTE 4
179,1011A549-400,DYNAFLYTE 4
180,1011A549-600,DYNAFLYTE 4
181,1011A550-001,GEL-PULSE 11
182,1011A550-002,GEL-PULSE 11
183,1011A550-300,GEL-PULSE 11
184,1011A550-400,GEL-PULSE 11
185,1011A550-800,GEL-PULSE 11
186,1011A551-001,GEL-CUMULUS 21
187,1011A551-002,GEL-CUMULUS 21
188,1011A551-020,GEL-CUMULUS 21
189,1011A551-021,GEL-CUMULUS 21
190,1011A551-400,GEL-CUMULUS 21
191,1011A551-750,GEL-CUMULUS 21
192,1011A553-021,GEL-CUMULUS 21 (4E)
193,1011A554-001,GEL-CUMULUS 21 (2E)
194,1011A556-020,GEL-Cumulus 20
195,1011A557-001,GEL-Scram 4
196,1011A559-001,GEL-SCRAM 5
197,1011A559-020,GEL-SCRAM 5
198,1011A559-021,GEL-SCRAM 5
199,1011A560-001,GEL-VENTURE 7
200,1011A560-003,GEL-VENTURE 7
201,1011A560-020,GEL-VENTURE 7
202,1011A561-001,GEL-VENTURE 7 (4E)
203,1011A561-003,GEL-VENTURE 7 (4E)
204,1011A561-400,GEL-VENTURE 7 (4E)
205,1011A564-020,ALPINE XT 2
206,1011A567-020,GT-1000 8 G-TX
207,1011A571-020,GEL-CUMULUS 21 G-TX
208,1011A587-403,GEL-KAYANO 25 X MITA
209,1011A589-001,GEL-Nimbus 21 SP
210,1011A590-001,Roadhawk FF 2
211,1011A591-001,GEL-Venture 6 MX
212,1011A603-001,Metarun
213,1011A603-200,Metarun
214,1011A603-400,Metarun
215,1011A605-001,DynaFlyte 3
216,1011A607-001,GT-2000 7 Twist
217,1011A607-020,GT-2000 7 Twist
218,1011A609-020,PATRIOT 11 Twist
219,1011A609-200,PATRIOT 11 Twist
220,1011A611-020,ROADHAWK FF 2 Twist
221,1011A628-020,GEL-KAYANO 26 LITE-SHOW
222,1011A632-001,GEL-NIMBUS 21 LITE-SHOW
